"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"94161","UNIQUE","SAN FRANCISCO","CA","PRIMARY",37.79,-122.40,"NA-US-CA-SAN FRANCISCO","false",,,
"94162","UNIQUE","SAN FRANCISCO","CA","PRIMARY",37.78,-122.40,"NA-US-CA-SAN FRANCISCO","false",,,
"94163","UNIQUE","SAN FRANCISCO","CA","PRIMARY",37.78,-122.40,"NA-US-CA-SAN FRANCISCO","false",,,
"94164","PO BOX","SAN FRANCISCO","CA","PRIMARY",37.78,-122.42,"NA-US-CA-SAN FRANCISCO","false",351,467,13580217
"94171","UNIQUE","SAN FRANCISCO","CA","PRIMARY",37.77,-122.41,"NA-US-CA-SAN FRANCISCO","false",,,
"94172","PO BOX","SAN FRANCISCO","CA","PRIMARY",37.76,-122.48,"NA-US-CA-SAN FRANCISCO","false",,,
"94177","UNIQUE","SAN FRANCISCO","CA","PRIMARY",37.79,-122.39,"NA-US-CA-SAN FRANCISCO","false",,,
"94188","PO BOX","SAN FRANCISCO","CA","PRIMARY",37.74,-122.38,"NA-US-CA-SAN FRANCISCO","false",515,787,21977822
"94963","PO BOX","SAN GERONIMO","CA","PRIMARY",38.02,-122.63,"NA-US-CA-SAN GERONIMO","false",294,485,14591953
"94074","STANDARD","SAN GREGORIO","CA","PRIMARY",37.33,-122.34,"NA-US-CA-SAN GREGORIO","false",,,
"94401","STANDARD","SAN MATEO","CA","PRIMARY",37.57,-122.32,"NA-US-CA-SAN MATEO","false",15438,25273,720992978
"94402","STANDARD","SAN MATEO","CA","PRIMARY",37.52,-122.35,"NA-US-CA-SAN MATEO","false",12557,21898,1091668216
"94403","STANDARD","SAN MATEO","CA","PRIMARY",37.54,-122.30,"NA-US-CA-SAN MATEO","false",19779,33305,1237433782
"94404","STANDARD","SAN MATEO","CA","PRIMARY",37.55,-122.26,"NA-US-CA-SAN MATEO","false",16810,29611,1407236709
"94497","UNIQUE","SAN MATEO","CA","PRIMARY",37.56,-122.32,"NA-US-CA-SAN MATEO","false",,,
"94964","PO BOX","SAN QUENTIN","CA","PRIMARY",37.94,-122.49,"NA-US-CA-SAN QUENTIN","false",,,
"94974","STANDARD","SAN QUENTIN","CA","PRIMARY",37.95,-122.54,"NA-US-CA-SAN QUENTIN","false",,,
