"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"49007","STANDARD","KALAMAZOO","MI","PRIMARY",42.27,-85.58,"NA-US-MI-KALAMAZOO","false",3868,5718,76773249
"49008","STANDARD","KALAMAZOO","MI","PRIMARY",42.27,-85.58,"NA-US-MI-KALAMAZOO","false",7405,11602,283839769
"49009","STANDARD","KALAMAZOO","MI","PRIMARY",42.27,-85.58,"NA-US-MI-KALAMAZOO","false",18841,32845,898833232
"49019","PO BOX","KALAMAZOO","MI","PRIMARY",42.27,-85.58,"NA-US-MI-KALAMAZOO","false",255,378,6732092
"49024","STANDARD","PORTAGE","MI","PRIMARY",42.20,-85.59,"NA-US-MI-PORTAGE","false",13754,24373,688970747
"49048","STANDARD","KALAMAZOO","MI","PRIMARY",42.24,-85.48,"NA-US-MI-KALAMAZOO","false",11027,18574,323362281
"49645","STANDARD","KALEVA","MI","PRIMARY",44.37,-86.01,"NA-US-MI-KALEVA","false",774,1356,15929429
"49646","STANDARD","KALKASKA","MI","PRIMARY",44.73,-85.17,"NA-US-MI-KALKASKA","false",3821,6738,101351426
"48631","STANDARD","KAWKAWLIN","MI","PRIMARY",43.65,-83.94,"NA-US-MI-KAWKAWLIN","false",2322,4166,79123985
"49062","PO BOX","KENDALL","MI","PRIMARY",42.36,-85.81,"NA-US-MI-KENDALL","false",,,
"49330","STANDARD","KENT CITY","MI","PRIMARY",43.21,-85.75,"NA-US-MI-KENT CITY","false",2317,4387,78068329
"49648","STANDARD","KEWADIN","MI","PRIMARY",44.93,-85.36,"NA-US-MI-KEWADIN","false",1119,1955,32434588
"49649","STANDARD","KINGSLEY","MI","PRIMARY",44.58,-85.53,"NA-US-MI-KINGSLEY","false",2856,5310,91804077
"48741","STANDARD","KINGSTON","MI","PRIMARY",43.41,-83.18,"NA-US-MI-KINGSTON","false",911,1709,24147999
"49752","STANDARD","KINROSS","MI","PRIMARY",46.26,-84.51,"NA-US-MI-KINROSS","false",,,
"49753","STANDARD","LACHINE","MI","PRIMARY",45.08,-83.73,"NA-US-MI-LACHINE","false",891,1636,21929738
"49063","PO BOX","LACOTA","MI","PRIMARY",42.41,-86.12,"NA-US-MI-LACOTA","false",,,
"48848","STANDARD","LAINGSBURG","MI","PRIMARY",42.89,-84.34,"NA-US-MI-LAINGSBURG","false",3721,6949,154418289
"48632","STANDARD","LAKE","MI","PRIMARY",43.85,-85.00,"NA-US-MI-LAKE","false",2150,3800,41222426
"49650","STANDARD","LAKE ANN","MI","PRIMARY",44.72,-85.84,"NA-US-MI-LAKE ANN","false",1426,2679,47353562
"49651","STANDARD","LAKE CITY","MI","PRIMARY",44.33,-85.20,"NA-US-MI-LAKE CITY","false",3340,5998,73740549
"48633","PO BOX","LAKE GEORGE","MI","PRIMARY",43.96,-84.94,"NA-US-MI-LAKE GEORGE","false",,,
"49653","STANDARD","LAKE LEELANAU","MI","PRIMARY",44.97,-85.73,"NA-US-MI-LAKE LEELANAU","false",957,1640,24736622
"49945","STANDARD","LAKE LINDEN","MI","PRIMARY",47.08,-88.40,"NA-US-MI-LAKE LINDEN","false",1199,2085,31059613
"48849","STANDARD","LAKE ODESSA","MI","PRIMARY",42.78,-85.13,"NA-US-MI-LAKE ODESSA","false",2748,4944,87183041
"49116","STANDARD","LAKESIDE","MI","PRIMARY",41.85,-86.66,"NA-US-MI-LAKESIDE","false",,,
"48850","STANDARD","LAKEVIEW","MI","PRIMARY",43.44,-85.27,"NA-US-MI-LAKEVIEW","false",1884,3495,47904398
"49430","PO BOX","LAMONT","MI","PRIMARY",43.00,-85.90,"NA-US-MI-LAMONT","false",,,
"49946","STANDARD","LANSE","MI","PRIMARY",46.72,-88.28,"NA-US-MI-LANSE","false",1935,3309,51382220
"48901","PO BOX","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",315,446,7593783
"48906","STANDARD","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",11913,19721,333664580
"48908","PO BOX","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",,,
"48909","PO BOX","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",318,470,10263657
"48910","STANDARD","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",16563,25921,460799857
"48911","STANDARD","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",18106,30419,515741869
"48912","STANDARD","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",8130,12231,216069466
"48913","UNIQUE","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",,,
"48915","STANDARD","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",3981,6357,107936026
"48916","UNIQUE","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",,,
"48917","STANDARD","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",16402,26721,555827184
"48918","UNIQUE","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",,,
"48919","UNIQUE","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",,,
"48921","UNIQUE","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",,,
"48922","UNIQUE","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",,,
"48924","STANDARD","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",,,
"48929","UNIQUE","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",,,
"48930","UNIQUE","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",,,
"48933","STANDARD","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",1024,1304,16744126
"48937","UNIQUE","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",,,
"48950","UNIQUE","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","true",,,
"48951","UNIQUE","LANSING","MI","PRIMARY",42.72,-84.56,"NA-US-MI-LANSING","false",,,
"48956","UNIQUE","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",,,
"48980","UNIQUE","LANSING","MI","PRIMARY",42.70,-84.55,"NA-US-MI-LANSING","false",,,
"49064","STANDARD","LAWRENCE","MI","PRIMARY",42.21,-86.05,"NA-US-MI-LAWRENCE","false",1741,3136,52938229
"49065","STANDARD","LAWTON","MI","PRIMARY",42.16,-85.84,"NA-US-MI-LAWTON","false",3129,5697,109775449
