"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"05662","PO BOX","MOSCOW","VT","PRIMARY",44.44,-72.71,"NA-US-VT-MOSCOW","false",,,
"05672","STANDARD","STOWE","VT","PRIMARY",44.46,-72.68,"NA-US-VT-STOWE","false",2738,4344,110142836
"05072","STANDARD","STRAFFORD","VT","PRIMARY",43.87,-72.38,"NA-US-VT-STRAFFORD","false",,,
"05488","STANDARD","SWANTON","VT","PRIMARY",44.92,-73.12,"NA-US-VT-SWANTON","false",3644,6347,130712847
"05073","STANDARD","TAFTSVILLE","VT","PRIMARY",43.62,-72.46,"NA-US-VT-TAFTSVILLE","false",,,
"05074","PO BOX","THETFORD","VT","PRIMARY",43.82,-72.23,"NA-US-VT-THETFORD","false",,,
"05083","STANDARD","WEST FAIRLEE","VT","PRIMARY",43.90,-72.27,"NA-US-VT-WEST FAIRLEE","false",,,
"05075","STANDARD","THETFORD CENTER","VT","PRIMARY",43.82,-72.27,"NA-US-VT-THETFORD CENTER","false",658,1118,27902384
"05353","STANDARD","TOWNSHEND","VT","PRIMARY",43.04,-72.66,"NA-US-VT-TOWNSHEND","false",520,857,14336775
"05359","STANDARD","WEST TOWNSHEND","VT","PRIMARY",43.13,-72.71,"NA-US-VT-WEST TOWNSHEND","false",256,447,5791231
"05868","STANDARD","TROY","VT","PRIMARY",44.93,-72.38,"NA-US-VT-TROY","false",,,
"05874","STANDARD","WESTFIELD","VT","PRIMARY",44.88,-72.42,"NA-US-VT-WESTFIELD","false",257,464,6554608
"05077","STANDARD","TUNBRIDGE","VT","PRIMARY",43.88,-72.50,"NA-US-VT-TUNBRIDGE","false",548,914,16531433
"05489","STANDARD","UNDERHILL","VT","PRIMARY",44.53,-72.97,"NA-US-VT-UNDERHILL","false",1556,2816,79046390
"05490","PO BOX","UNDERHILL CENTER","VT","PRIMARY",44.52,-72.89,"NA-US-VT-UNDERHILL CENTER","false",,,
"05491","STANDARD","VERGENNES","VT","PRIMARY",44.16,-73.25,"NA-US-VT-VERGENNES","false",2944,5045,104231216
"05354","STANDARD","VERNON","VT","PRIMARY",42.78,-72.52,"NA-US-VT-VERNON","false",1083,1940,44983863
"05079","STANDARD","VERSHIRE","VT","PRIMARY",43.97,-72.32,"NA-US-VT-VERSHIRE","false",315,538,8801718
"05673","STANDARD","WAITSFIELD","VT","PRIMARY",44.18,-72.82,"NA-US-VT-WAITSFIELD","false",1647,2719,64326581
"05773","STANDARD","WALLINGFORD","VT","PRIMARY",43.48,-72.97,"NA-US-VT-WALLINGFORD","false",1140,1949,36756113
"05355","STANDARD","WARDSBORO","VT","PRIMARY",43.02,-72.80,"NA-US-VT-WARDSBORO","false",,,
"05674","STANDARD","WARREN","VT","PRIMARY",44.12,-72.85,"NA-US-VT-WARREN","false",794,1263,25586023
"05675","STANDARD","WASHINGTON","VT","PRIMARY",44.10,-72.43,"NA-US-VT-WASHINGTON","false",487,817,14868439
"05671","UNIQUE","WATERBURY","VT","PRIMARY",44.33,-72.75,"NA-US-VT-WATERBURY","false",,,
"05676","STANDARD","WATERBURY","VT","PRIMARY",44.33,-72.75,"NA-US-VT-WATERBURY","false",2596,4322,104026356
"05677","STANDARD","WATERBURY CENTER","VT","PRIMARY",44.38,-72.70,"NA-US-VT-WATERBURY CENTER","false",1135,1994,56902155
"05442","STANDARD","BELVIDERE CENTER","VT","PRIMARY",44.75,-72.68,"NA-US-VT-BELVIDERE CENTER","false",,,
"05492","STANDARD","WATERVILLE","VT","PRIMARY",44.71,-72.75,"NA-US-VT-WATERVILLE","false",390,688,12607888
"05678","PO BOX","WEBSTERVILLE","VT","PRIMARY",44.13,-72.45,"NA-US-VT-WEBSTERVILLE","false",,,
"05774","STANDARD","WELLS","VT","PRIMARY",43.42,-73.20,"NA-US-VT-WELLS","false",623,1047,15825719
"05081","STANDARD","WELLS RIVER","VT","PRIMARY",44.15,-72.06,"NA-US-VT-WELLS RIVER","false",469,747,11785449
"05867","STANDARD","SUTTON","VT","PRIMARY",44.66,-72.03,"NA-US-VT-SUTTON","false",304,547,7760262
"05871","STANDARD","WEST BURKE","VT","PRIMARY",44.64,-71.98,"NA-US-VT-WEST BURKE","false",744,1264,19203191
"05872","STANDARD","WEST CHARLESTON","VT","PRIMARY",44.86,-72.05,"NA-US-VT-WEST CHARLESTON","false",339,583,7858471
"05873","STANDARD","WEST DANVILLE","VT","PRIMARY",44.46,-72.22,"NA-US-VT-WEST DANVILLE","false",361,636,9755426
"05356","STANDARD","WEST DOVER","VT","PRIMARY",42.96,-72.91,"NA-US-VT-WEST DOVER","false",687,1043,16848829
"05357","PO BOX","WEST DUMMERSTON","VT","PRIMARY",42.92,-72.61,"NA-US-VT-WEST DUMMERSTON","false",,,
"05494","STANDARD","WESTFORD","VT","PRIMARY",44.62,-73.02,"NA-US-VT-WESTFORD","false",870,1555,41720931
"05358","STANDARD","WEST HALIFAX","VT","PRIMARY",42.76,-72.72,"NA-US-VT-WEST HALIFAX","false",,,
